,,,SHARK TANK DATA ANALYSIS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SHOW STATISTICS,,,,Entrepreneurs Statistics,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Metrics ,Data,,,Entrepreneus in most age group,,,,Entrepreneurs Domain,,,,Location of Entrepreneurs,,,,,
Total Season,1,,,,,,,,,,,,,,,,
Total Episodes,30,,,30-35,32,,,Food,32,,,Delhi,14,,,,
Pitches,98,,,35-40,21,,,Lifestyle,29,,,Mumbai,13,,,,
Pitches Converted,57,,,25-30,17,,,Health,12,,,Pune,11,,,,
%conversion,0.581632653,,,20-25,12,,,Technology,9,,,Bangalore,10,,,,
Total Male,139,,,40-45,6,,,Automobile,6,,,Kolkata,6,,,,
Total Female,59,,,45-50,5,,,Clothes,4,,,Ahemdabad,5,,,,
Ratio of Gender,2.355932203,,,50-55,3,,,Finance,1,,,Hyderabad,4,,,,
Total Amount Invested lakhs,3422,,,41-45,1,,,Safety,1,,,Gurgaon,3,,,,
Avg Equity Taken %,16.58035088,,,,,,,Education,1,,,Gujarat,3,,,,
Highest Deal Taken,150,,,,,,,Tourism,1,,,Kerela,2,,,,
Highest Equity Taken,75,,,,,,,Entertainment,1,,,Noida,2,,,,
Pitches having atleast one women,52,,,,,,,,,,,Jaipur,2,,,,
Pitches converted atleast one women,29,,,,,,,,,,,Jammu,2,,,,
Avg team member,2.06122449,,,,,,,,,,,Indore,1,,,,
Debt taken,301,,,,,,,,,,,Nagpur,1,,,,
Total Amount Asked,36268,,,,,,,,,,,Dehradun,1,,,,
Avg Equity Asked %,8.956140351,,,,,,,,,,,Jalna,1,,,,
Expectation vs Reality,7.624210526,,,,,,,,,,,Darbhanga,1,,,,
Amt invested per deal,60.03508772,,,,,,,,,,,Valsad,1,,,,
,,,,,,,,,,,,Surat,1,,,,
,,,,,,,,,,,,Baramati,1,,,,
,,,,,,,,,,,,Chennai,1,,,,
,,,,,,,,,,,,Goa,1,,,,
,,,,,,,,,,,,Nashik,1,,,,
,,,,,,,,,,,,Bombay,1,,,,
,,,,,,,,,,,,Panipat,1,,,,
,,,,,,,,,,,,Lucknow,1,,,,
,,,,,,,,,,,,Secundarabad,1,,,,
,,,,,,,,,,,,Ludhiana,1,,,,
,,,,,,,,,,,,Unknown,1,,,,
,,,,,,,,,,,,Malegaon,1,,,,
,,,,,,,,,,,,Mathura,1,,,,
,,,,,,,,,,,,Kaithal,1,,,,
